"Decimal","Hexadecimal","Company"
"2271","0x08DF","IRIS OHYAMA CO.,LTD."
"2270","0x08DE","Tyco Electronics Corporation a TE Connectivity Ltd Company"
"2269","0x08DD","code-Q"
"2268","0x08DC","SHENZHEN AUKEY E BUSINESS CO., LTD"
"2267","0x08DB","Tertium Technology"
"2266","0x08DA","Miridia Technology Incorporated"
"2265","0x08D9","Pointr Labs Limited"
"2264","0x08D8","WARES"
"2263","0x08D7","Inovonics Corp"
"2262","0x08D6","Nome Oy"
"2261","0x08D5","KEYes"
"2260","0x08D4","ADATA Technology Co., LTD."
"2259","0x08D3","Novel Bits, LLC"
"2258","0x08D2","Virscient Limited"
"2257","0x08D1","Sensovium Inc."
"2256","0x08D0","ESTOM Infotech Kft."
"2255","0x08CF","betternotstealmybike UG (with limited liability)"
"2254","0x08CE","ZIMI CORPORATION"
"2253","0x08CD","ifly"
"2252","0x08CC","TGM TECHNOLOGY CO., LTD."
"2251","0x08CB","JT INNOVATIONS LIMITED"
"2250","0x08CA","Nubia Technology Co.,Ltd."
"2249","0x08C9","Noventa AG"
"2248","0x08C8","Liteboxer Technologies Inc."
"2247","0x08C7","Monadnock Systems Ltd."
"2246","0x08C6","Integra Optics Inc"
"2245","0x08C5","J. Wagner GmbH"
"2244","0x08C4","CellAssist, LLC"
"2243","0x08C3","CHIPOLO d.o.o."
"2242","0x08C2","Lindinvent AB"
"2241","0x08C1","Rayden.Earth LTD"
"2240","0x08C0","Accent Advanced Systems SLU"
"2239","0x08BF","SIRC Co., Ltd."
"2238","0x08BE","ubisys technologies GmbH"
"2237","0x08BD","bf1systems limited"
"2236","0x08BC","Prevayl Limited"
"2235","0x08BB","Tokai-rika co.,ltd."
"2234","0x08BA","HYPER ICE, INC."
"2233","0x08B9","U-Shin Ltd."
"2232","0x08B8","Check Technology Solutions LLC"
"2231","0x08B7","ABB Inc"
"2230","0x08B6","Boehringer Ingelheim Vetmedica GmbH"
"2229","0x08B5","TransferFi"
"2228","0x08B4","Sengled Co., Ltd."
"2227","0x08B3","IONIQ Skincare GmbH & Co. KG"
"2226","0x08B2","PF SCHWEISSTECHNOLOGIE GMBH"
"2225","0x08B1","CORE|vision BV"
"2224","0x08B0","Trivedi Advanced Technologies LLC"
"2223","0x08AF","Polidea Sp. z o.o."
"2222","0x08AE","Moticon ReGo AG"
"2221","0x08AD","Kayamatics Limited"
"2220","0x08AC","Topre Corporation"
"2219","0x08AB","Coburn Technology, LLC"
"2218","0x08AA","SZ DJI TECHNOLOGY CO.,LTD"
"2217","0x08A9","Fraunhofer IIS"
"2216","0x08A8","Shanghai Kfcube Inc"
"2215","0x08A7","TGR 1.618 Limited"
"2214","0x08A6","Intelligenceworks Inc."
"2213","0x08A5","UMEHEAL Ltd"
"2212","0x08A4","Realme Chongqing Mobile Telecommunications Corp., Ltd."
"2211","0x08A3","Hoffmann SE"
"2210","0x08A2","Epic Systems Co., Ltd."
"2209","0x08A1","EXEO TECH CORPORATION"
"2208","0x08A0","Aclara Technologies LLC"
"2207","0x089F","Witschi Electronic Ltd"
"2206","0x089E","i-SENS, inc."
"2205","0x089D","J-J.A.D.E. Enterprise LLC"
"2204","0x089C","Embedded Devices Co. Company"
"2203","0x089B","Saucon Technologies"
"2202","0x089A","Private limited company ""Teltonika"""
"2201","0x0899","SFS unimarket AG"
"2200","0x0898","Sensibo, Inc."
"2199","0x0897","Current Lighting Solutions LLC"
"2198","0x0896","Nokian Renkaat Oyj"
"2197","0x0895","Gimer medical"
"2196","0x0894","EPIFIT"
"2195","0x0893","Maytronics Ltd"
"2194","0x0892","Ingenieurbuero Birnfeld UG (haftungsbeschraenkt)"
"2193","0x0891","SmartWireless GmbH & Co. KG"
"2192","0x0890","NICHIEI INTEC CO., LTD."
"2191","0x088F","Tait International Limited"
"2190","0x088E","GIGA-TMS INC"
"2189","0x088D","Soliton Systems K.K."
"2188","0x088C","GB Solution co.,Ltd"
"2187","0x088B","Tricorder Arraay Technologies LLC"
"2186","0x088A","sclak s.r.l."
"2185","0x0889","XANTHIO"
"2184","0x0888","EnPointe Fencing Pty Ltd"
"2183","0x0887","Hydro-Gear Limited Partnership"
"2182","0x0886","Xsens Technologies B.V."
"2181","0x0885","LEVOLOR, INC."
"2180","0x0884","Controlid Industria, Comercio de Hardware e Servicos de Tecnologia Ltda"
"2179","0x0883","Wintersteiger AG"
"2178","0x0882","PSYONIC, Inc."
"2177","0x0881","Optalert"
"2176","0x0880","imagiLabs AB"
"2175","0x087F","Phillips Connect Technologies LLC"
"2174","0x087E","1bar.net Limited"
"2173","0x087D","Konftel AB"
"2172","0x087C","Crosscan GmbH"
"2171","0x087B","BYSTAMP"
"2170","0x087A","ZRF, LLC"
"2169","0x0879","MIZUNO Corporation"
"2168","0x0878","The Chamberlain Group, Inc."
"2167","0x0877","Tome, Inc."
"2166","0x0876","SmartResQ ApS"
"2165","0x0875","Berner International LLC"
"2164","0x0874","Treegreen Limited"
"2163","0x0873","Innophase Incorporated"
"2162","0x0872","11 Health & Technologies Limited"
"2161","0x0871","Dension Elektronikai Kft. (formerly: Dension Audio Systems Ltd.)"
"2160","0x0870","Wyze Labs, Inc"
"2159","0x086F","Trackunit A/S"
"2158","0x086E","Vorwerk Elektrowerke GmbH & Co. KG"
"2157","0x086D","Biometrika d.o.o."
"2156","0x086C","Revvo Technologies, Inc."
"2155","0x086B","Pacific Track, LLC"
"2154","0x086A","Odic Incorporated"
"2153","0x0869","EVVA Sicherheitstechnologie GmbH"
"2152","0x0868","WIOsense GmbH & Co. KG"
"2151","0x0867","Western Digital Techologies, Inc."
"2150","0x0866","LAONZ Co.,Ltd"
"2149","0x0865","Emergency Lighting Products Limited"
"2148","0x0864","Rafaelmicro"
"2147","0x0863","Yo-tronics Technology Co., Ltd."
"2146","0x0862","SmartDrive Inc."
"2145","0x0861","SmartSensor Labs Ltd"
"2144","0x0860","Alflex Products B.V."
"2143","0x085F","COMPEGPS TEAM,SOCIEDAD LIMITADA"
"2142","0x085E","Krog Systems LLC"
"2141","0x085D","Guilin Zhishen Information Technology Co.,Ltd."
"2140","0x085C","ACOS CO.,LTD."
"2139","0x085B","RICOH ELECTRONIC DEVICES CO., LTD."
"2138","0x085A","DAKATECH"
"2137","0x0859","BlueUp"
"2136","0x0858","SOUNDBOKS"
"2135","0x0857","Parsyl Inc"
"2134","0x0856","Canopy Growth Corporation"
"2133","0x0855","Helios Hockey, Inc."
"2132","0x0854","Tap Sound System"
"2131","0x0853","Pektron Group Limited"
"2130","0x0852","Cognosos, Inc."
"2129","0x0851","Subeca, Inc."
"2128","0x0850","Yealink (Xiamen) Network Technology Co.,LTD"
"2127","0x084F","Embedded Fitness B.V."
"2126","0x084E","Carol Cole Company"
"2125","0x084D","SafePort"
"2124","0x084C","ORSO Inc."
"2123","0x084B","Biotechware SRL"
"2122","0x084A","ARCOM"
"2121","0x0849","Dopple Technologies B.V."
"2120","0x0848","JUJU JOINTS CANADA CORP."
"2119","0x0847","DNANUDGE LIMITED"
"2118","0x0846","USound GmbH"
"2117","0x0845","Dometic Corporation"
"2116","0x0844","Pepperl + Fuchs GmbH"
"2115","0x0843","FRAGRANCE DELIVERY TECHNOLOGIES LTD"
"2114","0x0842","Tangshan HongJia electronic technology co., LTD."
"2113","0x0841","General Luminaire (Shanghai) Co., Ltd."
